spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
5XOzpTZGe4onY74BFK0ziS,21-11-2023 05:43,android,125840,I Wonder Why,Kacy & Clayton,Plastic Bouquet,trackdone,trackdone,TRUE,FALSE
7D5WsIISgiaBTfgubAuU4Z,21-11-2023 05:46,android,162173,"Give My Love to Rose - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,At Folsom Prison,trackdone,trackdone,TRUE,FALSE
3w5ecYEMUouguLjRh7CvsB,21-11-2023 05:49,android,191293,Wanted Man - Take 1,Bob Dylan,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)",trackdone,trackdone,TRUE,FALSE
6Z5X7CNSJ8AWodjatQBDYw,21-11-2023 05:53,android,221066,Pretty Girls Are (Pretty),Quiet Marauder,"Quiet Marauder - Men, Vol. 1",trackdone,trackdone,TRUE,FALSE
7xIud6DM74zHh06Ac61SfY,21-11-2023 05:56,android,204893,Hold On,Lou Reed,New York,trackdone,trackdone,TRUE,FALSE
7sVKPV1W2UZ0rR77GeAimi,21-11-2023 06:04,android,355866,Stand by Me - Remastered,Oasis,Be Here Now,trackdone,trackdone,TRUE,FALSE
0HTFDQQb7auJ2dZwXtPK5e,21-11-2023 06:08,android,260466,Host of a Ghost,Porter,Atemahawke,trackdone,trackdone,TRUE,FALSE
6Qs5u9Tqh1rm1ljdr1ckhw,21-11-2023 06:20,android,114503,Mama Kin,Aerosmith,Aerosmith,trackdone,logout,TRUE,FALSE
6Qs5u9Tqh1rm1ljdr1ckhw,21-11-2023 06:53,android,155081,Mama Kin,Aerosmith,Aerosmith,appload,trackdone,TRUE,FALSE
0majbxP137uZRM3LoTvVrv,21-11-2023 06:53,android,10668,"Aida / Act 2: ""Gloria all'Egitto""",Giuseppe Verdi,Opera Choruses,trackdone,fwdbtn,TRUE,TRUE
3ZBiffquREBNNjuQf7HqiK,21-11-2023 06:53,android,3541,"I'm Left, You're Right, She's Gone - Slow Version",Elvis Presley,A Boy From Tupelo: The Complete 1953-1955 Recordings,fwdbtn,fwdbtn,TRUE,TRUE
6xZGds6ClLaEPeyep1C8si,21-11-2023 06:53,android,7042,Rinaldo / Act 2: Lascia ch'io pianga,George Frideric Handel,Handel: Rinaldo (Original 1711 Version),fwdbtn,fwdbtn,TRUE,TRUE
7jtM0p1gijiBIBuhVLK8E1,21-11-2023 06:58,android,134866,The Good Life,Tony Bennett,60 Years: The Artistry of Tony Bennett,fwdbtn,trackdone,TRUE,FALSE
3YTTBONdXJOXMCQP7vvPuY,21-11-2023 07:02,android,254173,Are You Experienced?,Jimi Hendrix,Are You Experienced,trackdone,trackdone,TRUE,FALSE
